,xvalues,yvalues
455,455,16439
456,456,14342
457,457,14978
458,458,15570
459,459,14620
460,460,16564
461,461,17200
462,462,17472
463,463,16454
464,464,16913
465,465,16190
466,466,17320
467,467,17007
468,468,16471
469,469,15954
470,470,16261
471,471,16167
472,472,15675
473,473,16936
474,474,17570
475,475,16654
476,476,16422
477,477,17459
478,478,19174
479,479,17538
480,480,17768
481,481,16814
482,482,17149
483,483,18946
484,484,17075
485,485,16560
486,486,17969
487,487,17438
488,488,18062
489,489,20540
490,490,20413
491,491,17855
492,492,17713
493,493,18586
494,494,20392
495,495,20134
496,496,19433
497,497,18145
498,498,18281
499,499,18751
500,500,17783
501,501,17206
502,502,18078
503,503,17154
504,504,16817
505,505,16419
506,506,18156
507,507,18581
508,508,17411
509,509,17108
510,510,17235
511,511,16426
512,512,17368
513,513,17381
514,514,16364
515,515,16139
516,516,16550
517,517,15917
518,518,16052
519,519,16202
520,520,14931
521,521,16482
522,522,15211
523,523,13969
524,524,15021
525,525,14910
526,526,14032
527,527,12208
528,528,12127
529,529,13204
530,530,14893
531,531,14288
532,532,14621
533,533,14611
534,534,13543
535,535,14265
536,536,12789
537,537,12215
538,538,12974
539,539,11631
540,540,12623
541,541,13644
542,542,13823
543,543,13895
544,544,12207
545,545,13225
546,546,12783
547,547,11979
548,548,12334
549,549,12189
550,550,11236
551,551,13699
552,552,12092
553,553,11300
554,554,11246
555,555,11436
556,556,11285
557,557,10831
558,558,9761
559,559,11238
560,560,10840
561,561,10141
562,562,11307
563,563,10762
564,564,11001
565,565,10414
566,566,10144
567,567,9962
568,568,10275
569,569,10705
570,570,10403
571,571,10496
572,572,11657
573,573,10732
574,574,10210
575,575,11950
576,576,10697
577,577,10529
578,578,11452
579,579,12150
580,580,11762
581,581,12124
582,582,11975
583,583,11669
584,584,10460
585,585,11164
586,586,10452
587,587,10927
588,588,10971
589,589,11687
590,590,10986
591,591,11304
592,592,11605
593,593,11073
594,594,11732
595,595,13255
596,596,13485
597,597,13807
598,598,13810
599,599,14380
600,600,12291
601,601,12150
602,602,11962
603,603,11812
604,604,13146
605,605,14952
606,606,14663
607,607,14434
608,608,15110
609,609,15282
610,610,15105
611,611,15179
612,612,14681
613,613,15132
614,614,14286
615,615,15768
616,616,15263
617,617,15657
618,618,17306
619,619,16860
620,620,16202
621,621,16695
622,622,16059
623,623,15799
624,624,16461
625,625,17942
626,626,17702
627,627,16569
628,628,16042
629,629,15724
630,630,15076
631,631,16670
632,632,15738
633,633,14656
634,634,15595
635,635,16485
636,636,14895
637,637,15965
638,638,17237
639,639,16018
640,640,15383
641,641,14800
642,642,15037
643,643,14528
644,644,15614
645,645,15743
646,646,16658
647,647,17436
648,648,15389
649,649,14081
650,650,13636
651,651,14073
652,652,15160
653,653,15803
654,654,15435
655,655,14913
656,656,14836
657,657,15010
658,658,13910
659,659,14514
660,660,14617
661,661,13287
662,662,12807
663,663,13241
664,664,14914
665,665,13481
666,666,14344
667,667,14609
668,668,13071
669,669,13359
670,670,13030
671,671,12921
672,672,12843
673,673,11632
674,674,12488
675,675,12818
676,676,11048
677,677,11114
678,678,10649
679,679,11498
680,680,11588
681,681,9293
682,682,10459
683,683,12020
684,684,11769
685,685,11564
686,686,10190
687,687,9765
688,688,8977
689,689,10486
690,690,9990
691,691,9127
692,692,9112
693,693,10633
694,694,9981
695,695,8830
696,696,9465
697,697,9231
698,698,8060
699,699,8498
700,700,8840
701,701,8498
702,702,9296
703,703,9320
704,704,9052
705,705,8950
706,706,8553
707,707,9290
708,708,10163
709,709,9037
710,710,8117
711,711,9146
712,712,9758
713,713,9143
714,714,8729
715,715,10371
716,716,9429
717,717,8722
718,718,9146
719,719,9419
720,720,9148
721,721,9412
722,722,9670
723,723,9603
724,724,10490
725,725,9690
726,726,9609
727,727,10565
728,728,10821
729,729,11342
730,730,10429
731,731,10218
732,732,11797
733,733,11635
734,734,11293
735,735,13024
736,736,12283
737,737,11761
738,738,11484
739,739,11938
740,740,12020
741,741,12565
742,742,12765
743,743,13287
